"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","TER","ter_mean","terlowerci","terupperci"
"73","T3","5/31/2019","PSTR P2 11","PSTR","P2","11","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,20.00333333,0.011547005,0.008164966,25.95826828,0.494406167,0.285445534,3003.774163,2.686111639,0.068570111,1.650734041,0.031630046,0.122319977,4.791666667,17,"PSTR:P2",0.222520134,0.100306672753725,0.0335734024494116,0.168841096125492
"87","T1","3/8/2018","PSTR 3 1","PSTR","P3","1","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,18.27629597,0.005773503,0.004082483,26.45144006,0.186733498,0.107810636,12604,NA,0.013891772,NA,0.017982413,0.033474606,1.996527778,3,"PSTR:P3",0.065348791,0.0967924846242577,0.0248974633269183,0.167827468311935
"93","T1","3/7/2018","PSTR 3 7","PSTR","P3","7","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,17.52957968,0.005773503,0.004082483,18.04824583,0.26394005,0.152385859,4658,NA,0.011287023,NA,0.022211884,0.04875121,2.801282051,3,"PSTR:P3",0.082250117,0.151764934437196,0.0883254226375028,0.21281024203955
"101","T2","9/26/2018","PSTR 3 12","PSTR","P3","12","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,25.64916885,0.005773503,0.004082483,27.16906045,0.150306367,0.086779422,6332.444444,0.586153848,0.014546884,3.158484725,0.078385752,0.048036168,1.4,9,"PSTR:P3",0.140968804,0.135737797515281,0.0651588709752092,0.20592494613364
"102","T2","9/24/2018","PSTR 3 2","PSTR","P3","2","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,36.68769772,0.011547005,0.008164966,30.28660205,0.12223444,0.070572087,20141.34857,0.745122458,0.012128918,6.038392952,0.098291461,0.046106247,0.890625,9,"PSTR:P3",0.156526626,0.108114849790963,0.0412393858385418,0.176362161456832
"109","T3","5/30/2019","PSTR P3 3","PSTR","P3","3","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,47.62666667,0.005773503,0.004082483,32.90759524,0.308797903,0.178284552,935.2533333,0.851292169,0.013534344,2.108603659,0.033523821,0.061474541,3.866666667,17,"PSTR:P3",0.108532706,0.122119993583431,0.0652613901259908,0.180500772925504
"116","T3","5/31/2019","PSTR P3 11","PSTR","P3","11","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,46.00964067,0.017320508,0.012247449,29.66494874,0.363949994,0.210126627,23.38133333,0.48725946,0.011979598,0.159163034,0.003913129,0.041907385,1.704545455,17,"PSTR:P3",0.057800112,0.100306672753725,0.0335734024494116,0.168841096125492
"136","T1","3/7/2018","PSTR 4 7","PSTR","P4","7","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,15.27646181,0.005773503,0.004082483,15.77549276,0.254752158,0.147081227,4407.725176,NA,0.037891936,NA,0.062137505,0.063243487,4.666666667,3,"PSTR:P4",0.163272928,0.151764934437196,0.0883254226375028,0.21281024203955
"145","T2","9/26/2018","PSTR 4 12","PSTR","P4","12","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,27.98545136,0.01,0.007071068,27.04246738,0.045429867,0.026228946,9469.44,0.876693228,0.020831564,3.016868945,0.071685394,0.055621421,0.864705882,9,"PSTR:P4",0.148138379,0.135737797515281,0.0651588709752092,0.20592494613364
"158","T3","5/30/2019","PSTR P4 6","PSTR","P4","6","NSP4","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,18,10,342,3420,49.43663453,0.02,0.014142136,58.25311931,1.400240336,0.808429135,3565.933014,1.567318296,0.015083462,6.290783448,0.060540855,0.062821627,6.527777778,17,"PSTR:P4",0.138445944,0.122119993583431,0.0652613901259908,0.180500772925504
"162","T3","5/31/2019","PSTR P4 11","PSTR","P4","11","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,25.5524144,0.01,0.007071068,30.87847924,0.149716592,0.086438915,8517.485714,0.795102138,0.015420313,1.58879132,0.030813223,0.045908807,2.367149758,17,"PSTR:P4",0.092142343,0.100306672753725,0.0335734024494116,0.168841096125492
"176","T1","3/8/2018","PSTR 5 1","PSTR","P5","1","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,20.11257669,0.005773503,0.004082483,21.54909552,0.100448326,0.057993868,15383.85455,NA,0.018985414,NA,0.062349869,0.070808498,4.691876751,3,"PSTR:P5",0.152143781,0.0967924846242577,0.0248974633269183,0.167827468311935
"191","T2","9/24/2018","PSTR 5 2","PSTR","P5","2","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,36.720035,0.011547005,0.008164966,34.89096974,0.069558799,0.040159792,11690.66667,0.931063753,0.028137619,1.818006086,0.054941847,0.022218108,1.363636364,9,"PSTR:P5",0.105297574,0.108114849790963,0.0412393858385418,0.176362161456832
"199","T3","5/30/2019","PSTR P5 3","PSTR","P5","3","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,54.51795775,0.011547005,0.008164966,44.03151119,0.603315466,0.348324347,876.8,1.585294269,0.019172627,3.703645015,0.044792064,0.082168392,6.794117647,17,"PSTR:P5",0.146133083,0.122119993583431,0.0652613901259908,0.180500772925504
"228","T1","3/7/2018","PSTR 6 7","PSTR","P6","7","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",20,18,15,360,5400,18.18265845,0.005773503,0.004082483,24.95794691,0.363857294,0.210073106,3531.112727,NA,0.07925894,NA,0.223395276,0.031794761,2.254428341,3,"PSTR:P6",0.334448977,0.151764934437196,0.0883254226375028,0.21281024203955
"237","T2","9/26/2018","PSTR 6 12","PSTR","P6","12","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","N","alive",20,18,15,360,5400,15.2562228,0.005773503,0.004082483,18.30209316,0.02590693,0.014957373,6172.672,1.014929518,0.013918124,0.410626051,0.005631075,0.026830272,1.736111111,9,"PSTR:P6",0.046379471,0.135737797515281,0.0651588709752092,0.20592494613364
"238","T2","9/24/2018","PSTR 6 2","PSTR","P6","2","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,27.29151356,0.011547005,0.008164966,30.24270743,0.121192571,0.069970564,11432.78431,1.59746501,0.030370954,6.496078125,0.12350323,0.019834344,1.5625,9,"PSTR:P6",0.173708528,0.108114849790963,0.0412393858385418,0.176362161456832
"246","T3","5/30/2019","PSTR P6 3","PSTR","P6","3","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,42.75166375,0.02081666,0.014719601,39.40232997,0.250566699,0.144664751,30927.12727,0.824165189,0.022946595,1.432562868,0.039885741,0.11136891,4,17,"PSTR:P6",0.174201246,0.122119993583431,0.0652613901259908,0.180500772925504
"253","T3","5/31/2019","PSTR P6 11","PSTR","P6","11","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",20,18,15,360,5400,17.41333333,0.015275252,0.010801234,29.45640549,0.128712549,0.074312225,5013.997037,1.06892806,0.042679634,0.922261546,0.010499905,0.016692102,0.418060201,17,"PSTR:P6",0.069871641,0.100306672753725,0.0335734024494116,0.168841096125492
"267","T1","3/6/2018","PSTR 1 14","PSTR","P1","14","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,19.66415425,0.005773503,0.004082483,30.07505409,0.184999167,0.106809319,9552.944762,NA,0.015406977,NA,0.034507264,0.022139033,1.666666667,3,"PSTR:P1",0.072053274,0.161736945612668,0.0858669842546351,0.23413087645451
"273","T1","3/9/2018","PSTR 1 20","PSTR","P1","20","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,10.87882662,0.005773503,0.004082483,16.79606301,0.055323428,0.031940996,13687.82222,NA,0.023674456,NA,0.045483108,0.044120032,1.851851852,3,"PSTR:P1",0.113277596,0.117201685664604,0.0537322190632999,0.180058768785302
"279","T2","9/26/2018","PSTR 1 15","PSTR","P1","15","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,23.35423581,0.015275252,0.010801234,24.75210109,0.03585523,0.020701026,20564.94545,1.612605896,0.044624169,2.259534713,0.062526038,0.041006344,1.298701299,9,"PSTR:P1",0.148156551,0.15105325864534,0.0785674744292289,0.223107217362137
"284","T2","9/25/2018","PSTR 1 21","PSTR","P1","21","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,29.95294118,0.005773503,0.004082483,29.44166611,0.125461034,0.072434961,9742.222222,0.593359369,0.017788218,2.937045213,0.088049172,0.039809558,1.414285714,9,"PSTR:P1",0.145646948,0.0981115807822714,0.0322851375274837,0.163848162335889
"289","T3","5/31/2019","PSTR P1 16","PSTR","P1","16","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,39.88498683,0.01,0.007071068,43.52751309,0.258128649,0.149030645,10605.10476,1.079902588,0.015108126,0.800155761,0.011194393,0.042361835,3.027950311,17,"PSTR:P1",0.068664354,0.0852373285751212,0.0228967501794537,0.141817654343699
"293","T3","5/29/2019","PSTR P1 22","PSTR","P1","22","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","Y","alive",20,16,14,320,4480,19.8169163,0.01,0.007071068,19.4797569,0.080153478,0.046276632,13233.83467,0.604448862,0.011712254,0.651767513,0.012629136,0.058211663,3.004201681,17,"PSTR:P1",0.082553053,0.0851627401175955,0.0286306254399249,0.142552103354566
"336","T3","5/31/2019","PSTR P2 16","PSTR","P2","16","OSP2","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",15,13,8,195,1560,27.59666667,0.005773503,0.004082483,36.05107194,0.131059087,0.075666999,5480,1.54933049,0.019120062,0.563457418,0.006953546,0.056459409,4.575,17,"PSTR:P2",0.082533017,0.0852373285751212,0.0228967501794537,0.141817654343699
"342","T3","5/29/2019","PSTR P2 22","PSTR","P2","22","OSP2","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",15,13,8,195,1560,38.03666667,0.005773503,0.004082483,26.14435119,0.178811674,0.103236968,10696.96,0.713387204,0.012955169,0.513976888,0.009333862,0.069916312,3.85,17,"PSTR:P2",0.092205343,0.0851627401175955,0.0286306254399249,0.142552103354566
"364","T1","3/9/2018","PSTR 3 20","PSTR","P3","20","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",10,8,8,80,640,7.16739245,0,0,9.820865809,0.20826624,0.12024257,7550.222222,NA,0.018722408,NA,0.041547414,0.042017418,2.179487179,3,"PSTR:P3",0.10228724,0.117201685664604,0.0537322190632999,0.180058768785302
"376","T2","9/25/2018","PSTR 3 21","PSTR","P3","21","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",10,8,8,80,640,7.819614711,0.011547005,0.008164966,10.67735066,0.081978788,0.047330475,6251.965217,1.452153139,0.019539343,1.398419263,0.018816331,0.062099322,1.904761905,9,"PSTR:P3",0.100454996,0.0981115807822714,0.0322851375274837,0.163848162335889
"383","T3","5/31/2019","PSTR P3 16","PSTR","P3","16","OSP3","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",10,8,8,80,640,22.18224956,0.005773503,0.004082483,24.47737709,0.134871442,0.077868063,110.7536842,0.6740638,0.006715197,0.59784502,0.005955886,0.029886772,3,17,"PSTR:P3",0.042557855,0.0852373285751212,0.0228967501794537,0.141817654343699
"387","T3","5/29/2019","PSTR P3 22","PSTR","P3","22","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","Y","N","alive",10,8,8,80,640,23.05977213,0.01,0.007071068,21.70459836,0.118237953,0.068264714,6444.995765,0.550019789,0.011232132,1.964047978,0.030178879,0.048366294,2.368421053,17,"PSTR:P3",0.089777305,0.0851627401175955,0.0286306254399249,0.142552103354566
"403","T1","3/6/2018","PSTR 4 14","PSTR","P4","14","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,17.04167838,0.005773503,0.004082483,15.59566509,0.238331493,0.137600751,3033.484444,NA,0.017035311,NA,0.045754113,0.024342049,1.3671875,3,"PSTR:P4",0.087131473,0.161736945612668,0.0858669842546351,0.23413087645451
"409","T1","3/9/2018","PSTR 4 20","PSTR","P4","20","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,16.34354386,0.011547005,0.008164966,24.62548032,0.05503764,0.031775996,21509.7442,NA,0.01446421,NA,0.015174869,0.040697747,2.583333333,3,"PSTR:P4",0.070336826,0.117201685664604,0.0537322190632999,0.180058768785302
"415","T2","9/26/2018","PSTR 4 15","PSTR","P4","15","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,20.75641476,0.01,0.007071068,21.06898191,0.107527472,0.062081015,3631.191919,0.615890959,0.035392121,2.016020762,0.115850458,0.036783479,0.961538462,9,"PSTR:P4",0.188026058,0.15105325864534,0.0785674744292289,0.223107217362137
"420","T2","9/25/2018","PSTR 4 21","PSTR","P4","21","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,22.91373239,0.005773503,0.004082483,23.2267468,0.029768336,0.017186757,10260.27922,0.731655244,0.01151817,1.522372727,0.023966135,0.087301587,1.458333333,9,"PSTR:P4",0.122785892,0.0981115807822714,0.0322851375274837,0.163848162335889
"425","T3","5/31/2019","PSTR P4 16","PSTR","P4","16","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,29.85905097,0.005773503,0.004082483,38.02209149,0.101965097,0.058869576,6480.695652,1.361079904,0.014377402,1.798049465,0.018993213,0.05154857,4.88,17,"PSTR:P4",0.084919185,0.0852373285751212,0.0228967501794537,0.141817654343699
"429","T3","5/29/2019","PSTR P4 22","PSTR","P4","22","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,22.76660808,0.005773503,0.004082483,20.85224473,0.219155342,0.126529396,2995.402715,0.420187794,0.010651667,0.231344195,0.005864524,0.053255833,2.100840336,17,"PSTR:P4",0.069772024,0.0851627401175955,0.0286306254399249,0.142552103354566
"446","T1","3/6/2018","PSTR 5 14","PSTR","P5","14","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,17.03348472,0.011547005,0.008164966,32.59783056,0.431139293,0.248918387,1130.097778,NA,0.034557327,NA,0.08306774,0.024503577,1.367521368,3,"PSTR:P5",0.142128644,0.161736945612668,0.0858669842546351,0.23413087645451
"452","T1","3/9/2018","PSTR 5 20","PSTR","P5","20","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,14.89666667,0.005773503,0.004082483,22.77938704,0.192493543,0.111136199,29387.78531,NA,0.027009251,NA,0.08469031,0.053765073,2.582644628,3,"PSTR:P5",0.165464634,0.117201685664604,0.0537322190632999,0.180058768785302
"458","T2","9/26/2018","PSTR 5 15","PSTR","P5","15","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,21.68943662,0.015275252,0.010801234,20.14444189,0.103265967,0.059620634,11495.82222,0.84532756,0.024472692,3.101522352,0.089790756,0.023299318,0.41025641,9,"PSTR:P5",0.137562766,0.15105325864534,0.0785674744292289,0.223107217362137
"463","T2","9/25/2018","PSTR 5 21","PSTR","P5","21","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,22.76986784,0.01,0.007071068,25.52979367,0.092662977,0.053498995,4926.021818,1.187180219,0.047251809,0.024463963,0.000973708,0.016223653,1.26953125,9,"PSTR:P5",0.06444917,0.0981115807822714,0.0322851375274837,0.163848162335889
"468","T3","5/31/2019","PSTR P5 16","PSTR","P5","16","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,42.82333333,0.005773503,0.004082483,45.17950472,0.252292792,0.145661311,10381.312,1.10108108,0.018436551,1.595886622,0.026721597,0.044238527,2.642045455,17,"PSTR:P5",0.089396675,0.0852373285751212,0.0228967501794537,0.141817654343699
"472","T3","5/29/2019","PSTR P5 22","PSTR","P5","22","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,46.02036874,0,0,41.04942185,0.202426305,0.116870882,801.6457143,1.105970685,0.016247566,0.274302418,0.004029715,0.054431203,3.705128205,17,"PSTR:P5",0.074708484,0.0851627401175955,0.0286306254399249,0.142552103354566
"489","T1","3/6/2018","PSTR 6 14","PSTR","P6","14","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,14.00768014,0.01,0.007071068,13.48032075,0.275481921,0.159049562,8711.064935,NA,0.171302131,NA,0.178109554,0.00431987,0.277777778,3,"PSTR:P6",0.353731555,0.161736945612668,0.0858669842546351,0.23413087645451
"495","T1","3/9/2018","PSTR 6 20","PSTR","P6","20","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,21.11524059,0.005773503,0.004082483,31.04190093,0.121247236,0.070002124,12492.48108,NA,0.047833674,NA,0.066661594,0.02229809,1.483134921,3,"PSTR:P6",0.136793358,0.117201685664604,0.0537322190632999,0.180058768785302
"501","T2","9/26/2018","PSTR 6 15","PSTR","P6","15","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,49.55930131,0.011547005,0.008164966,40.31544748,0.058876421,0.033992317,12027.89744,1.000840219,0.065317028,1.216347129,0.047683622,0.018596522,2.309027778,9,"PSTR:P6",0.131597172,0.15105325864534,0.0785674744292289,0.223107217362137
"506","T2","9/25/2018","PSTR 6 21","PSTR","P6","21","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,17.61153846,0.005773503,0.004082483,20.82433621,0.014439006,0.008336364,29226.66667,0.597023522,0.0218119,0.515062278,0.007661214,0.030008439,0.939814815,9,"PSTR:P6",0.059481553,0.0981115807822714,0.0322851375274837,0.163848162335889
"511","T3","5/31/2019","PSTR P6 16","PSTR","P6","16","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,15.09009641,0.005773503,0.004082483,18.5430893,0.276770565,0.15979356,3844.075789,1.307197244,0.040717018,1.919764854,0.059797479,0.041531114,1.333333333,17,"PSTR:P6",0.142045611,0.0852373285751212,0.0228967501794537,0.141817654343699
"515","T3","5/29/2019","PSTR P6 22","PSTR","P6","22","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,32.15333333,0.015275252,0.010801234,23.31771006,0.200019505,0.115481315,19823.30435,0.659477016,0.01609588,0.57927282,0.014138333,0.072321419,2.963137996,17,"PSTR:P6",0.102555632,0.0851627401175955,0.0286306254399249,0.142552103354566
"545","T1","3/8/2018","SSID 1 1","SSID","S1","1","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,30.07333333,0.005773503,0.004082483,23.7442567,0.247820756,0.14307938,4630.6,NA,0.018836593,NA,0.007599249,0.036944409,2.541666667,3,"SSID:S1",0.063380251,0.112077474964957,0.0390336332616097,0.186212323848477
"559","T2","9/26/2018","SSID 1 12","SSID","S1","12","NSS1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,18,15,396,5940,34.25319335,0.02081666,0.014719601,14.33381233,0.163078491,0.09415341,5900.864,1.917261684,0.03245849,0.566685134,0.009593757,0.112560157,4.536231884,9,"SSID:S1",0.154612404,0.208735509046895,0.140676095435956,0.273460322527976
"560","T2","9/24/2018","SSID 1 2","SSID","S1","2","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,21.87333333,0.005773503,0.004082483,18.79954531,0.110978459,0.064073443,3583.443478,1.479601521,0.035660798,3.870663372,0.09328927,0.084882102,4.658703704,9,"SSID:S1",0.21383217,0.224597900643591,0.15032737788623,0.295255608287473
"568","T3","5/30/2019","SSID S1 3","SSID","S1","3","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,31.59104478,0.005773503,0.004082483,17.29494176,0.203593622,0.117544833,4296.32,1.510889439,0.027245051,0.282691595,0.005097624,0.018032458,1,17,"SSID:S1",0.050375133,0.0650218754599507,0.00791487875502724,0.121259136925488
"572","T3","5/31/2019","SSID S1 7","SSID","S1","7","NSS1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",22,18,15,396,5940,24.00105356,0.02,0.014142136,16.75578782,0.31732242,0.183206185,1539.271111,2.229272086,0.021844439,0.725755761,0.007111616,0.013771618,1.40542328,17,"SSID:S1",0.042727673,0.0713666878571066,0.00740553660355703,0.13498986856836
"587","T1","3/8/2018","SSID 2 1","SSID","S2","1","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,30.25677788,0,0,25.71014441,0.219268043,0.126594464,3586.909091,NA,0.032082411,NA,0.037775798,0.031609131,2.046783626,3,"SSID:S2",0.10146734,0.112077474964957,0.0390336332616097,0.186212323848477
"601","T2","9/26/2018","SSID 2 12","SSID","S2","12","NSS2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",23,21,15,483,7245,25.18124452,0.005773503,0.004082483,17.88766047,0.07588832,0.043814142,2946.331984,1.31341048,0.022259404,1.007175407,0.017069396,0.14152276,4.34169279,9,"SSID:S2",0.18085156,0.208735509046895,0.140676095435956,0.273460322527976
"602","T2","9/24/2018","SSID 2 2","SSID","S2","2","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,24.4338326,0.015275252,0.010801234,24.84455297,0.049809463,0.028757507,7509.534118,0.882486875,0.021691688,1.954187287,0.048034279,0.184028692,2.770526316,9,"SSID:S2",0.253754659,0.224597900643591,0.15032737788623,0.295255608287473
"610","T3","5/30/2019","SSID S2 3","SSID","S2","3","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,39.53666667,0.02081666,0.014719601,31.38986692,0.486770977,0.281037355,4066.16,1.015588767,0.020047812,0.292218672,0.005768423,0.009870044,0.5,17,"SSID:S2",0.035686279,0.0650218754599507,0.00791487875502724,0.121259136925488
"615","T3","5/31/2019","SSID S2 8","SSID","S2","8","NSS2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",23,21,15,483,7245,44.59244952,0.015275252,0.010801234,30.85787547,0.060953882,0.03519174,1117.92,1.076557522,0.03618213,0.454280853,0.015267971,0.021966732,0.653594771,17,"SSID:S2",0.073416833,0.0713666878571066,0.00740553660355703,0.13498986856836
