"","X","Var2","Var1","Var3","lat","long","month","year","omega_Ar","TA","pH","month1","site","month2","Date"
"2411413",620571,30,76,11,16.575475692749,-88.3516540527344,20171101,2017,4.10847139358521,2332.76928710938,8.04587745666504,"November","Nearshore",11,Nov 2017
"2411414",620572,30,76,12,16.575475692749,-88.3516540527344,20171201,2017,4.09176540374756,2345.82299804688,8.05831718444824,"December","Nearshore",12,Dec 2017
"2411415",620573,30,76,2,16.575475692749,-88.3516540527344,20170201,2017,4.02651500701904,2340.76440429688,8.07351684570312,"February","Nearshore",2,Feb 2017
"2411416",620574,30,76,3,16.575475692749,-88.3516540527344,20170301,2017,4.08975076675415,2343.83251953125,8.05942344665527,"March","Nearshore",3,Mar 2017
"2411417",620575,30,76,4,16.575475692749,-88.3516540527344,20170401,2017,4.13408613204956,2348.40893554688,8.050048828125,"April","Nearshore",4,Apr 2017
"2411418",620576,30,76,5,16.575475692749,-88.3516540527344,20170501,2017,4.19482469558716,2350.48510742188,8.02699375152588,"May","Nearshore",5,May 2017
"2411419",620577,30,76,6,16.575475692749,-88.3516540527344,20170601,2017,4.14884328842163,2346.96069335938,8.04242992401123,"June","Nearshore",6,Jun 2017
"2411420",620578,30,76,7,16.575475692749,-88.3516540527344,20170701,2017,4.14215707778931,2346.13330078125,8.05370998382568,"July","Nearshore",7,Jul 2017
"2411421",620579,30,76,8,16.575475692749,-88.3516540527344,20170801,2017,4.15579986572266,2343.39306640625,8.05402374267578,"August","Nearshore",8,Aug 2017
"2411423",620580,30,76,9,16.575475692749,-88.3516540527344,20170901,2017,4.17666816711426,2340.69580078125,8.04648399353027,"September","Nearshore",9,Sep 2017
"1497415",611053,29,79,1,16.4875431060791,-88.0879211425781,0,2016,4.1416015625,2362.0869140625,8.06747627258301,"January","Offshore",1,Jan 2016
"1497416",611054,29,79,10,16.4875431060791,-88.0879211425781,9,2016,4.23505878448486,2356.31616210938,8.04412364959717,"October","Offshore",10,Oct 2016
"1497417",611055,29,79,11,16.4875431060791,-88.0879211425781,10,2016,4.1743278503418,2358.10034179688,8.05471706390381,"November","Offshore",11,Nov 2016
"1497418",611056,29,79,12,16.4875431060791,-88.0879211425781,11,2016,4.13243865966797,2358.54907226562,8.06322860717773,"December","Offshore",12,Dec 2016
"1497419",611057,29,79,2,16.4875431060791,-88.0879211425781,1,2016,4.07343816757202,2358.61645507812,8.07642650604248,"February","Offshore",2,Feb 2016
"1497420",611058,29,79,3,16.4875431060791,-88.0879211425781,2,2016,4.09989070892334,2356.11938476562,8.07102966308594,"March","Offshore",3,Mar 2016
"1497421",611059,29,79,4,16.4875431060791,-88.0879211425781,3,2016,4.16581726074219,2359.66088867188,8.05697631835938,"April","Offshore",4,Apr 2016
"1497425",611060,29,79,5,16.4875431060791,-88.0879211425781,4,2016,4.21725606918335,2363.41870117188,8.04368209838867,"May","Offshore",5,May 2016
"1497426",611061,29,79,6,16.4875431060791,-88.0879211425781,5,2016,4.23938322067261,2364.8154296875,8.03496551513672,"June","Offshore",6,Jun 2016
"1497427",611062,29,79,7,16.4875431060791,-88.0879211425781,6,2016,4.24020624160767,2363.0380859375,8.04403877258301,"July","Offshore",7,Jul 2016
"1497428",611063,29,79,8,16.4875431060791,-88.0879211425781,7,2016,4.25101137161255,2358.9013671875,8.04170799255371,"August","Offshore",8,Aug 2016
"1497429",611064,29,79,9,16.4875431060791,-88.0879211425781,8,2016,4.25501585006714,2355.29345703125,8.03679943084717,"September","Offshore",9,Sep 2016
"2400838",611053,29,79,1,16.4875431060791,-88.0879211425781,20170101,2017,4.0840539932251,2360.02465820312,8.076340675354,"January","Offshore",1,Jan 2017
"2400839",611054,29,79,10,16.4875431060791,-88.0879211425781,20171001,2017,4.20149993896484,2350.38745117188,8.0455493927002,"October","Offshore",10,Oct 2017
"2400840",611055,29,79,11,16.4875431060791,-88.0879211425781,20171101,2017,4.13928270339966,2343.45141601562,8.04695892333984,"November","Offshore",11,Nov 2017
"2400841",611056,29,79,12,16.4875431060791,-88.0879211425781,20171201,2017,4.1181206703186,2358.54907226562,8.06178188323975,"December","Offshore",12,Dec 2017
"2400842",611057,29,79,2,16.4875431060791,-88.0879211425781,20170201,2017,4.06136417388916,2350.0771484375,8.07357788085938,"February","Offshore",2,Feb 2017
"2400843",611058,29,79,3,16.4875431060791,-88.0879211425781,20170301,2017,4.11578512191772,2354.96166992188,8.0617618560791,"March","Offshore",3,Mar 2017
"2400844",611059,29,79,4,16.4875431060791,-88.0879211425781,20170401,2017,4.16346836090088,2358.42504882812,8.05057907104492,"April","Offshore",4,Apr 2017
"2400846",611060,29,79,5,16.4875431060791,-88.0879211425781,20170501,2017,4.22337961196899,2360.32641601562,8.02748012542725,"May","Offshore",5,May 2017
"2400847",611061,29,79,6,16.4875431060791,-88.0879211425781,20170601,2017,4.1786322593689,2357.62915039062,8.04356288909912,"June","Offshore",6,Jun 2017
"2400848",611062,29,79,7,16.4875431060791,-88.0879211425781,20170701,2017,4.17674732208252,2358.58935546875,8.05505657196045,"July","Offshore",7,Jul 2017
"2400849",611063,29,79,8,16.4875431060791,-88.0879211425781,20170801,2017,4.18915987014771,2355.119140625,8.05505275726318,"August","Offshore",8,Aug 2017
"2400850",611064,29,79,9,16.4875431060791,-88.0879211425781,20170901,2017,4.20319366455078,2350.07446289062,8.04731273651123,"September","Offshore",9,Sep 2017
